EntrezGeneID	GeneSymbol	UniprotID	UniprotEntry	Sources
10006	ABI1	Q8IZP0	ABI1_HUMAN	S
25	ABL1	P00519	ABL1_HUMAN	C,S
27	ABL2	P42684	ABL2_HUMAN	S
57007	ACKR3	P25106	ACKR3_HUMAN	S
48	ACO1	P21399	ACOC_HUMAN	M
2181	ACSL3	O95573	ACSL3_HUMAN	S
23305	ACSL6	Q9UKU0	ACSL6_HUMAN	S
90	ACVR1	Q04771	ACVR1_HUMAN	C,S
91	ACVR1B	P36896	ACV1B_HUMAN	C,M
92	ACVR2A	P27037	AVR2A_HUMAN	S
93	ACVR2B	Q13705	AVR2B_HUMAN	M
23394	ADNP	Q9H2P0	ADNP_HUMAN	M
4299	AFF1	P51825	AFF1_HUMAN	S
3899	AFF3	P51826	AFF3_HUMAN	S
27125	AFF4	Q9UHB7	AFF4_HUMAN	S
84962	AJUBA	Q96IF1	AJUBA_HUMAN	M
10142	AKAP9	Q99996	AKAP9_HUMAN	S
207	AKT1	P31749	AKT1_HUMAN	C,S,M
208	AKT2	P31751	AKT2_HUMAN	S
217	ALDH2	P05091	ALDH2_HUMAN	S
238	ALK	Q9UM73	ALK_HUMAN	C,S,M
84964	ALKBH6	Q3KRA9	ALKB6_HUMAN	M
115701	ALPK2	Q86TB3	ALPK2_HUMAN	M
139285	AMER1	Q5JTC6	AMER1_HUMAN	C,S
288	ANK3	Q12955	ANK3_HUMAN	M
324	APC	P25054	APC_HUMAN	C,S,M
9582	APOBEC3B	Q9UH17	ABC3B_HUMAN	S
23780	APOL2	Q9BQE5	APOL2_HUMAN	M
367	AR	P10275	ANDR_HUMAN	C,S
23092	ARHGAP26	Q9UNA1	RHG26_HUMAN	S
2909	ARHGAP35	Q9NRY4	RHG35_HUMAN	M
23365	ARHGEF12	Q9NZN5	ARHGC_HUMAN	S
8289	ARID1A	O14497	ARI1A_HUMAN	C,S,M
57492	ARID1B	Q8NFD5	ARI1B_HUMAN	S
196528	ARID2	Q68CP9	ARID2_HUMAN	C,S,M
84159	ARID5B	Q14865	ARI5B_HUMAN	M
405	ARNT	P27540	ARNT_HUMAN	S
79058	ASPSCR1	Q9BZE9	ASPC1_HUMAN	S
171023	ASXL1	Q8IXJ9	ASXL1_HUMAN	C,S,M
55252	ASXL2	Q76L83	ASXL2_HUMAN	M
466	ATF1	P18846	ATF1_HUMAN	S
471	ATIC	P31939	PUR9_HUMAN	S
472	ATM	Q13315	ATM_HUMAN	C,S,M
476	ATP1A1	P05023	AT1A1_HUMAN	C,S
492	ATP2B3	Q16720	AT2B3_HUMAN	C,S
506	ATP5B	P06576	ATPB_HUMAN	M
545	ATR	Q13535	ATR_HUMAN	C,S
546	ATRX	P46100	ATRX_HUMAN	C,S
8312	AXIN1	O15169	AXIN1_HUMAN	C,S
8313	AXIN2	Q9Y2T1	AXIN2_HUMAN	C,S,M
563	AZGP1	P25311	ZA2G_HUMAN	M
567	B2M	P61769	B2MG_HUMAN	S,M
8314	BAP1	Q92560	BAP1_HUMAN	C,S,M
8915	BCL10	O95999	BCL10_HUMAN	S
53335	BCL11A	Q9H165	BC11A_HUMAN	S
